source_term,target_term
PurProX™,PurProX®
TrueX™,TrueX®
End-to-End AAV Downstream Processing Solution,AAV 全周期下游纯化解决方案
AAV Downstream Processing,AAV 下游纯化
AAV Purification Solution,AAV 纯化解决方案
AAVEasy rapid-to-purify Spin Column,AAVEasy 极速离心柱
AAVFull Enrichment Filter,AAVFull 实心富集试剂盒
AAVPure Affinity Resin,AAVPure 亲和树脂
AAVPure Pre-packed Affinity Column,AAVPure 预装亲和纯化柱
Universal AAV Titration Kit,通用 AAV 滴度检测试剂盒
>85% purity,>85%纯度
AAVEasy Spin Column,AAVEasy 极速离心柱
AAVFull Enrichment Kit,AAVFull 实心富集试剂盒
Serotype Specific Titration Kit,血清型特异性滴度检测试剂盒
up to 80% recovery,高达80%回收率
AAV9 and its variants,AAV9及其变体
broad-spectrum,广谱型
embedded design,嵌入式设计
full/empty ratio,实心率（Full/Empty Ratio）
large-pore microsphere,大孔径微球
polishing step,精纯步骤
standard 50mL centrifuge tube,标准50mL离心管
Cell Isolation Solution,细胞分离解决方案
Column-based,柱式
Column-free,无柱式
Immune Cell Solution Detail,免疫细胞解决方案
SOLIDEX® Immune Cell Solution Detail,SOLIDEX® 免疫细胞解决方案
SOLIDEX®-ISOEx Mini Stand,SOLIDEX®-ISOEx Mini 细胞分选架
SOLIDEX®-ISOEx Stand,SOLIDEX®-ISOEx 细胞分选架
Magnetic Separator,细胞分选磁力架
Magnetic Sorter,单孔磁力架
Depletion,去除
Format,有无柱式
Negative Selection,阴性选择
Positive Selection,阳性选择
Column,分选柱
mL,mL
Untouched,Untouched
Cat.No,产品货号
Catalog No.,产品货号
PurProX® AAVEasy rapid-to-purify Spin Column,PurProX® AAVEasy 极速离心柱
PurProX® AAVEasy Spin Column-1,PurProX® AAVEasy 极速离心柱-1
PurProX® AAVEasy Spin Column-2,PurProX® AAVEasy 极速离心柱-2
PurProX® AAVFull Enrichment Kit,PurProX® AAVFull 实心富集试剂盒
PurProX® AAVPure Affinity Resin,PurProX® AAVPure 亲和树脂-U1/U2
PurProX® AAVPure Affinity Resin-1,PurProX® AAVPure 亲和树脂-1
PurProX® AAVPure Affinity Resin-2,PurProX® AAVPure 亲和树脂-2
PurProX® AAVPure Pre-packed Affinity Column,PurProX® AAVPure 预装亲和纯化柱
PurProX® AAVPure Pre-packed Affinity Column-1,PurProX® AAVPure 预装亲和纯化柱-1
PurProX® AAVPure Pre-packed Affinity Column-2,PurProX® AAVPure 预装亲和纯化柱-2
TrueX® - ONE Universal AAV Titration Kit (ELISA),TrueX® - ONE 通用AAV滴度检测试剂盒（ELISA）
TrueX® - UNIQ AAV Serotype-Specific AAV Titration Kit (ELISA),TrueX® - UNIQ AAV 血清型特异性AAV滴度检测试剂盒（ELISA）
TrueX®-ONE Universal AAV Titration Kit (ELISA),TrueX®-ONE 通用AAV滴度检测试剂盒（ELISA）
TrueX®-UNIQ AAV2 Serotype Specific Titration Kit (ELISA),TrueX®-UNIQ AAV2 血清型特异性AAV滴度检测试剂盒（ELISA）
TrueX®-UNIQ AAV5 Serotype Specific Titration Kit (ELISA),TrueX®-UNIQ AAV5 血清型特异性AAV滴度检测试剂盒（ELISA）
TrueX®-UNIQ AAV6 Serotype Specific Titration Kit (ELISA),TrueX®-UNIQ AAV6 血清型特异性AAV滴度检测试剂盒（ELISA）
TrueX®-UNIQ AAV8 Serotype Specific Titration Kit (ELISA),TrueX®-UNIQ AAV8 血清型特异性AAV滴度检测试剂盒（ELISA）
TrueX®-UNIQ AAV9 Serotype Specific Titration Kit (ELISA),TrueX®-UNIQ AAV9 血清型特异性AAV滴度检测试剂盒（ELISA）
G-NEXT™ Novel AAV discovery and rational evolution platform,G-NEXT™ 新型腺相关病毒（AAV）开发平台
PurProX® AAV Purification Solution,PurProX® 腺相关病毒（AAV）纯化解决方案
TrueX® AAV Titration & Quantification Solution,TrueX® 腺相关病毒（AAV）滴度测定与定量解决方案
GeneMedi,GeneMedi
AAV,AAV
Cell Therapy,细胞治疗
Gene Therapy,基因治疗
Cat.No,产品货号
Catalog No.,产品货号
Cell Isolation Solution,细胞分离解决方案
Column,分选柱
Column-based,柱式
Column-free,无柱式
Depletion,去除
Format,有无柱式
Immune Cell Solution Detail,免疫细胞解决方案
magnetic separator,细胞分选磁力架
Magnetic Separator,细胞分选磁力架
Magnetic Sorter,单孔磁力架
Negative Selection,阴性选择
Positive Selection,阳性选择
SOLIDEX®-ISOEx Mini Stand,SOLIDEX®-ISOEx Mini 细胞分选架
SOLIDEX®-ISOEx Stand,SOLIDEX®-ISOEx 细胞分选架
GM Multi-Serotype AAV Vector System,GM 多血清型 AAV 载体系统
GM Promise™ ORF Viral Library,GM Promise™ ORF 病毒文库
GVC QbD Platform for Viral vectors Processes Development & Manufacturing,GVC QbD 病毒载体工艺开发与生产平台
INDKan™ Industry-Used AAV Vector System,INDKan™ 工业常用 AAV 载体系统
TransEx™ DNA Rapid Preparation Service,TransEx™ DNA 快速制备服务
50 mL 离心管,50mL离心管
50 mL离心管,50mL离心管
>85% 纯度,>85%纯度
AAV 亲和层析填料,AAV 亲和树脂
AAVEasy 快速纯化离心柱,AAVEasy 极速离心柱
AAVEasy 离心柱,AAVEasy 极速离心柱
AAVEasy快速纯化离心柱,AAVEasy 极速离心柱
AAVFull 实心富集滤器,AAVFull 实心富集试剂盒
AAVFull富集试剂盒,AAVFull 实心富集试剂盒
AAVPure 亲和层析填料,AAVPure 亲和树脂
AAVPure 预装亲和层析柱,AAVPure 预装亲和纯化柱
AAVPure 预装柱,AAVPure 预装亲和纯化柱
AAVPure亲和层析填料,AAVPure 亲和树脂
AAV实心富集滤器,AAVFull 实心富集试剂盒
AAV实心富集试剂盒,AAVFull 实心富集试剂盒
AAV易旋离心柱,AAVEasy 极速离心柱
AAV极速离心柱,AAVEasy 极速离心柱
AAV纯亲和层析填料,AAVPure 亲和树脂
AAV纯化亲和层析填料,AAVPure 亲和树脂
Cat. No.,产品货号
Cat.No,产品货号
Catalog No.,产品货号
Column Free,无柱式
Column-Based,柱式
Column-based,柱式
Column-Free,无柱式
Column-free,无柱式
Detail,详细信息
Details,详细信息
Format,有无柱式
PurProX(TM),PurProX®
PurProX® AAVEasy快速纯化离心柱,PurProX® AAVEasy 极速离心柱
PurProX® AAVFull 实心富集滤器,PurProX® AAVFull 实心富集试剂盒
PurProX® AAVPure 亲和层析填料,PurProX® AAVPure 亲和树脂
PurProX® AAVPure 预装亲和层析柱,PurProX® AAVPure 预装亲和纯化柱
PurProX® AAVPure 预装柱,PurProX® AAVPure 预装亲和纯化柱
PurProX® AAVPure亲和层析填料,PurProX® AAVPure 亲和树脂
PurProX® AAV实心富集滤器,PurProX® AAVFull 实心富集试剂盒
PurProX® AAV实心富集试剂盒,PurProX® AAVFull 实心富集试剂盒
PurProX® AAV纯亲和层析填料,PurProX® AAVPure 亲和树脂
PurProX® AAV纯化亲和层析填料,PurProX® AAVPure 亲和树脂
PurProX®AAVEasy 极速离心柱,PurProX® AAVEasy 极速离心柱
PurProX®AAVEasy 离心柱,PurProX® AAVEasy 极速离心柱
PurProX®AAVEasy快速纯化离心柱,PurProX® AAVEasy 极速离心柱
PurProX®AAVFull 实心富集滤器,PurProX® AAVFull 实心富集试剂盒
PurProX®AAVPure 亲和层析填料,PurProX® AAVPure 亲和树脂
PurProX®AAVPure 预装亲和层析柱,PurProX® AAVPure 预装亲和纯化柱
PurProX®AAVPure 预装柱,PurProX® AAVPure 预装亲和纯化柱
PurProX®AAVPure亲和层析填料,PurProX® AAVPure 亲和树脂
PurProX®AAV实心富集滤器,PurProX® AAVFull 实心富集试剂盒
PurProX®AAV实心富集试剂盒,PurProX® AAVFull 实心富集试剂盒
PurProX®AAV易旋离心柱,PurProX® AAVEasy 极速离心柱
PurProX®AAV极速离心柱,PurProX® AAVEasy 极速离心柱
PurProX®AAV纯亲和层析填料,PurProX® AAVPure 亲和树脂
PurProX®AAV纯化亲和层析填料,PurProX® AAVPure 亲和树脂
PurProX™,PurProX®
SOLIDEX(®),SOLIDEX®
SOLIDEX®-ISOEx 溶液,SOLIDEX® 免疫细胞解决方案
TrueX(TM),TrueX®
TrueX™,TrueX®
使用 50nm 磁珠的磁性柱,使用分选柱的50 nm 磁珠
使用50 nm磁珠的磁性柱,使用分选柱的50 nm 磁珠
使用50nm磁珠的磁性柱,使用分选柱的50 nm 磁珠
免柱,无柱式
免柱式,无柱式
基于柱,柱式
基于柱式,柱式
快速纯化离心柱,极速离心柱
无柱式方法,无柱式
无柱式法,无柱式
无柱法,无柱式
未扰动,Untouched
未接触,Untouched
未触及,Untouched
柱式方法,柱式
柱式法,柱式
目录号,产品货号
目录编号,产品货号
磁分离器,细胞分选磁力架
磁分选器,细胞分选磁力架
磁性分离器,细胞分选磁力架
磁性分选器,细胞分选磁力架
磁性排序器,单孔磁力架
磁排序器,单孔磁力架
细胞分离液,细胞分离解决方案
细胞分离溶液,细胞分离解决方案
细胞隔离方案,细胞分离解决方案
细胞隔离解决方案,细胞分离解决方案
详情,详细信息
预装AAV亲和分选柱,预装亲和纯化柱
预装AAV亲和层析柱,预装亲和纯化柱
高达 80% 回收率,高达80%回收率
高达80%的回收率,高达80%回收率
